title,expression,commentary
"数論","フェルマーの最終定理","\begin{align}x^n + y^n = z^n.\end{align}","正確にはフェルマーの最終定理の主張に現れる方程式."
"ベクトル解析","スカラー場の勾配","\begin{aligned}\grad f &= \nabla f = \rbk{\frac{\partial}{\partial x^1},\frac{\partial}{\partial x^2},\frac{\partial}{\partial x^3}} f \\ &= \sum_{i=1}^3 \frac{\partial f}{\partial x^i} \vectore_i = \sum_{i=1}^3 f_{,i} \vectore_i = \delta_i^j f_{,j} \vectore_i\end{aligned}","添字の上下はいろいろある."
"ベクトル解析","ベクトル場の回転","\begin{aligned}\rot \vectorB &= \nabla \times \vectorB \\ &= \rbk{\frac{\partial}{\partial x^1},\frac{\partial}{\partial x^2},\frac{\partial}{\partial x^3},} \times \rbk{B^1,B^2,B^3} \\ &= \rbk{\frac{\partial B^3}{\partial x^2} - \frac{\partial B^2}{\partial x^3}, \frac{\partial B^1}{\partial x^3} - \frac{\partial B^3}{\partial x^1}, \frac{\partial B^2}{\partial x^1} - \frac{\partial B^1}{\partial x^2}} \\ &= \rbk{\ep^{ij}_{k} \partial_j A^k} \vectore_i = \ep^{ij}_{k} A^k_{,j} \vectore_i.\end{aligned}","添字の上下はいろいろある."
"ベクトル解析","ベクトル場の発散","\begin{aligned}\divergence \vectorB &= \nabla \cdot \vectorB \\ &= \rbk{\frac{\partial}{\partial x^1},\frac{\partial}{\partial x^2},\frac{\partial}{\partial x^3},} \cdot \rbk{B^1,B^2,B^3} \\ &= \frac{\partial B^1}{\partial x^1} + \frac{\partial B^2}{\partial x^2} + \frac{\partial B^3}{\partial x^3} = \partial_i B^i = B^i_{,i}.\end{aligned}","添字の上下はいろいろある."
"関数論","コーシー-リーマンの方程式","\begin{align}\frac{\partial u(x,y)}{\partial x} = \frac{\partial v(x,y)}{\partial y}, \quad \frac{\partial u(x,y)}{\partial y} = - \frac{\partial v(x,y)}{\partial x}.\end{align}","一変数関数論での基本的な方程式で正則性を特徴づける."
"関数論","コーシーの積分表示式","\begin{align}f(z) = \frac{1}{\twopii} \int_C \frac{f(\zeta)}{\zeta - z} \dzeta.\end{align}"
"ルベーグ積分論","ルベーグ積分","\int_{\Omega} f(x) \, d \mu(x).","一般的な測度による全空間積分."
"常微分方程式","超幾何微分方程式","\begin{align}z(z-1) \frac{d^2 w}{dz^2} + \rbk{\rbk{\alpha + \beta + 1}z - \gamma} \frac{dw}{dz} + \alpha \beta w = 0.\end{align}","特異点を持つ二階の斉次線型常微分方程式の代表例."
"積分方程式","第一種フレドホルム方程式","\begin{align}f(x) = \int_a^b K(x,t) \phi(t) \dt.\end{align}","積分の両端が固定で, 未知関数が積分の中にだけ現れる積分方程式."
"積分方程式","第二種フレドホルム方程式","\begin{align}\phi(x) = f(x) + \lambda \int_a^b K(x,t) \phi(t) \dt.\end{align}","積分の両端が固定で, 未知関数が積分の外にも現れる積分方程式."
"積分方程式","第一種ボルテラ方程式","\begin{align}f(x) = \int_a^x K(x,t) \phi(t) \dt.\end{align}","積分の上端または下端が変数で, 未知関数が積分の中にだけ現れる積分方程式."
"積分方程式","第一種フレドホルム方程式","\begin{align}\phi(x) = f(x) + \lambda \int_a^x K(x,t) \phi(t) \dt.\end{align}","積分の上端または下端が変数で, 未知関数が積分の外にも現れる積分方程式."
"作用素論","自己共役作用素のスペクトル分解","\begin{align}A = \int_{\bbR} \lambda \dE(\lambda).\end{align}","対角化の一般化にあたる."
